0.78,0.9,0.28,0.94,0.98,0.28,0.48,0.26,0.46,0.5
1,0.96,0.74,0.42,0.44,0.22,0.08,0.04,0.12,0
1,0.96,0.84,0.96,0.82,0.6,0.32,0.14,0.18,0.04
1,0.98,1,0.82,0.48,0.34,0.24,0.08,0.04,0.06
0.1,0.06,0,0.04,0.04,0.18,0.04,0.02,0,0.06
1,1,0.96,0.64,0.22,0.52,0.06,0.04,0.04,0.04
1,1,0.96,0.76,0.22,0.48,0.06,0,0.06,0.06
1,1,1,1,0.62,0.7,0.06,0.08,0.06,0
1,1,1,0.92,0.42,0.72,0.08,0.14,0.1,0.08
0.98,1,0.92,0.98,0.24,0.52,0.14,0.08,0.02,0.06
1,1,1,0.96,0.48,0.36,0.08,0,0.04,0.08
1,1,1,0.82,0.36,0.6,0.1,0,0.04,0.08
0.98,0.98,0.96,0.48,0.1,0.4,0.04,0.08,0.02,0.06
1,1,1,1,0.88,0.56,0.3,0.08,0.1,0.02
1,1,0.98,0.98,0.52,0.74,0.08,0,0.04,0.08
1,1,0.9,0.78,0.64,0.58,0.22,0,0.08,0.06
0.98,1,0.88,0.5,0.18,0.22,0.02,0,0.08,0.06
1,1,1,0.98,0.8,0.52,0.22,0.14,0.1,0.02
0.98,0.94,0.48,0.32,0.08,0.3,0.02,0.04,0.04,0.04
1,1,1,0.96,0.36,0.26,0.24,0.08,0.06,0.06
0.02,0.04,0.04,0.06,0.06,0.04,0,0,0.02,0
1,1,0.9,0.2,0.06,0.1,0.02,0,0.08,0.02
1,1,0.8,0.78,0.2,0.34,0.02,0.18,0.1,0.12
1,1,0.12,0.78,0.1,0.14,0.2,0.14,0.02,0.04
1,1,1,1,1,0.88,0.66,0.42,0.1,0.06
1,1,1,1,0.66,0.64,0.34,0.18,0.1,0.08
1,1,0.98,1,0.9,0.58,0.32,0.16,0.22,0.08
1,1,1,1,0.92,0.6,0.24,0.24,0.02,0.14
1,1,0.84,0.96,0.58,0.5,0.26,0.14,0.06,0.08
1,0.94,0.7,1,0.84,0.32,0.34,0.18,0.04,0.02
1,1,0.72,0.26,0.12,0.08,0.08,0.12,0.04,0.02
1,1,0.92,0.92,0.28,0.34,0.24,0.18,0.06,0.04
1,1,0.94,0.94,0.84,0.42,0.4,0.12,0.02,0.02
